,premise,hypothesis,label
0,A anybody on a horse jumps over a broken down airplane.,A somebody is training his horse for a competition.,1
1,A person on a horse jumping over a broken down airplane.,"A person is at a diner, ordering an frittata.",2
2,A person on a horse jumps over a broken down airliner.,"A anyone is outdoors, on a horse.",0
3,Children smiling and waving at cameras,They are grinning at their parents,1
4,Children smirk and waving at camera,There are infantile present,0
5,Enfants smiling and waving at camera,The children are frowning,2
6,A boy is jumping on skateboard in the milieu of a red bridge.,The boy skates down the pavement.,2
7,A boy is jumping on skate in the middle of a red bridge.,The boys does a skateboarding trick.,0
8,A boy is leap on skateboard in the middle of a red bridge.,The boys is wearing safety equipment.,1
9,An older fella sits with his orange juice at a small table in a coffee shop while employees in bright coloring shirts smile in the background.,An older bloke drinks his juice as he waits for his daughter to get off work.,1
10,An older man sits with his orange juice at a small table in a coffee store while employees in bright hue shirts smile in the background.,A boys flips a burger.,2
11,An older man sits with his orange juice at a small table in a coffee storage while employees in bright colorful shirts smile in the background.,An seniors man sits in a small shop.,1
12,Two blond women are kissing one another.,Some mujer are hugging on vacation.,1
13,Two blond daughters are hugging one another.,The women are sleeper.,2
14,Two blond femmes are hugging one another.,There are female showing affection.,0
15,"A few people in a dining setting, one of them is drinking orange juice.",The people are meal omelettes.,1
16,"una few people in a restaurant setting, one of them is drinking orange juice.",The people are sit at desks in school.,2
17,"A few people in a restaurant setting, one of them is alcohol orange juice.",The diners are at a lunchroom.,0
18,An elders man is drinking orange juice at a restaurant.,A man is drink juice.,0
19,An older man is drinking orange juice at a dining.,Two women are at a restaurant beverage wine.,2
20,An older dawg is drinking orange juice at a restaurant.,A guy in a restaurant is waiting for his meal to arrive.,1
21,"A mec with blond-hair, and a brown shirt drinking out of a public water fountain.",A blonde man getting a drink of water from a fountain in the park.,1
22,"A man with blond-hair, and a brown shirt drink out of a public water fountain.",A blond bloke wearing a brown shirt is reading a book on a bench in the park,2
23,"A fella with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond mec drinking water from a fountain.,0
24,Two women who just had dine hugging and saying goodbye.,The chums scowl at each other over a full dinner table.,2
25,Two women who just had lunch hug and saying goodbye.,There are two girl in this picture.,0
26,Two women who just had banquets hugging and saying goodbye.,"The friends have just met for the firstly time in 20 years, and have had a marvellous time catching up.",1
27,"Two women, holding nutritional carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their mutt bags.",1
28,"Two woman, holding food carryout containers, hug.",Two groupings of rival gang members flipped each other off.,2
29,"Two women, holding nutrition carryout containers, hug.",Two daughters hug each other.,0
30,A Little League team tries to catch a runner sliding into a base in an afternoon ballgame.,A team is attempts to score the games winning out.,1
31,A Small League team tries to catch a runner sliding into a base in an afternoon game.,A team is try to tag a runner out.,0
